com,nccenr,nb_habitant,age_moyen,pop_active,taux_chomage,pop_densite,revenu_moyen,superficie_km2,agressions,cambriolages,vols_degradations,stupefiants,note_moyenne_globale,nb_avis,score_securite,score_education,score_loisirs,score_environnement,score_vie_pratique,estimation_pop_2026,estimation_pop_2025,part_0_14_ans,part_15_29_ans,part_30_44_ans,part_45_59_ans,part_60_74_ans,part_75_89_ans,part_90_plus,part_cadres,part_retraites,part_employes,part_ouvriers,part_sans_diplome,part_bac5_plus,part_couple_avec_enfant,part_personnes_seules,participation_1er_tour,participation_2nd_tour,inscrits_election,code_postal,nom_region,nom_departement,nom_metropole,nom_maire,nb_hypermarches,nb_supermarches,nb_superettes,nb_boulangeries,nb_boucheries,nb_restaurants,nb_garages,nb_stations_service,nb_banques,nb_bureaux_poste,nb_coiffeurs,nb_tabacs,nb_bars_discotheques,nb_bibliotheques,nb_cinemas,nb_veterinaires,nb_pharmacies,nb_hopitaux,nb_laboratoires_analyses,nb_etablissements_handicapes,nb_ehpa,nb_medecins,nb_dentistes,nb_chirurgiens,nb_dermatologues,nb_anesthesistes,nb_gastroenterologues,nb_gynecologues,nb_cancerologues,nb_neurologues,nb_ophtalmologues,nb_orl,nb_cardiologues,nb_pediatres,nb_pneumologues,nb_psychologues,nb_radiologues,nb_rhumatologues,nb_sages_femmes,nb_creches,nb_ecoles_maternelles_publiques,nb_ecoles_maternelles_privees,nb_ecoles_primaires_publiques,nb_ecoles_primaires_privees,nb_colleges_publics,nb_colleges_prives,nb_lycees_publics,nb_lycees_prives,prix_m2_maison,prix_m2_appartement,part_residences_principales,part_residences_secondaires,part_taux_proprietaires,part_taux_locataires
01002,ABERGEMENT DE VAREY,270,40 ans,48.1%,1.2%,30 h/km²,24 480 €/an,9,0,0,0,0,0,5,,,,,,286,282,21%,12%,21%,21%,14%,7%,1%,7%,23%,7%,7%,10%,13%,45%,18%,82.16,78.87,213,,région Auvergne-Rhône-Alpes,département de l'Ain,,M. Max ORSET,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 000 €,588 €,63.43%,28%,88.29%,11.71%
01004,AMBERIEU EN BUGEY,15 934,40 ans,44.7%,10.4%,664 h/km²,21 660 €/an,24,300,65,492,56,3.8,12,3.5,3.8,3.9,4.1,3.7,15 967,15 774,17%,19%,17%,15%,14%,7%,1%,5%,18%,12%,12%,20%,7%,29%,30%,76.29,72.06,8 765,,région Auvergne-Rhône-Alpes,département de l'Ain,,M. Daniel FABRE,1,4,9,10,6,21,33,3,10,48,28,4,10,3,1,8,4,,2,2,2,17,12,11,,2,,5,,,3,,3,1,,1,13,,7,4,3,,3,1,1,1,2,,2 453 €,2 101 €,88.48%,1.62%,41.59%,58.41%
01005,AMBERIEUX EN DOMBES,1 906,40 ans,51.8%,5.1%,127 h/km²,24 610 €/an,15,0,9,23,0,3.9,2,4.5,4.5,3.5,3.5,3.5,2 032,1 996,19%,14%,19%,20%,15%,6%,1%,6%,18%,16%,10%,17%,7%,44%,15%,81.75,79.25,1 282,,région Auvergne-Rhône-Alpes,département de l'Ain,,,,,1,1,,3,1,1,,3,2,1,2,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,1,,,1,,,,,,2 722 €,2 418 €,88.46%,0.84%,73.37%,26.63%
01006,AMBLEON,115,49 ans,44.3%,7%,23 h/km²,24 210 €/an,5,0,0,0,0,0,5,,,,,,117,116,9%,12%,17%,21%,33%,7%,0%,9%,17%,13%,34%,20%,6%,24%,18%,77.67,81.55,103,01300,région Auvergne-Rhône-Alpes,département de l'Ain,,Mme Annie BIONDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 421 €,959 €,75%,14.47%,71.93%,28.07%
01007,AMBRONAY,2 841,39 ans,49.2%,6.1%,86 h/km²,24 860 €/an,33,0,14,65,0,3.2,1,3.0,4.0,3.0,4.0,2.0,2 977,2 946,22%,14%,22%,19%,15%,6%,1%,7%,17%,13%,12%,14%,7%,40%,18%,83.36,79.48,2 031,01500,région Auvergne-Rhône-Alpes,département de l'Ain,,Mme Marie-Christine BARILLOT,,,1,1,,5,3,,,1,4,1,1,1,,,1,,,1,,2,,,,,,,,,,,,,,,,,,3,1,,1,,,,,,2 296 €,1 778 €,92.67%,3.27%,73.17%,26.83%
01008,AMBUTRIX,760,39 ans,56.3%,5.1%,152 h/km²,26 300 €/an,5,0,0,5,0,0,5,,,,,,776,773,18%,17%,21%,25%,15%,5%,0%,7%,18%,13%,16%,14%,7%,38%,17%,85.56,81.88,554,01500,région Auvergne-Rhône-Alpes,département de l'Ain,,M. Dominique DELOFFRE,,,,,,,3,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2 530 €,1 678 €,90.91%,1.65%,74.55%,25.45%
01009,ANDERT ET CONDON,348,47 ans,39.9%,8.3%,58 h/km²,24 810 €/an,6,0,0,0,0,0,5,,,,,,330,331,15%,10%,16%,20%,20%,11%,1%,1%,22%,11%,7%,14%,8%,26%,19%,82.8,73.93,279,,région Auvergne-Rhône-Alpes,département de l'Ain,,M. Patrick GUILLERMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 650 €,984 €,75.9%,12.82%,87.16%,12.84%
01010,ANGLEFORT,1 174,38 ans,46.1%,5.6%,40 h/km²,24 700 €/an,29,0,0,18,0,5.0,1,5.0,5.0,5.0,5.0,5.0,1 145,1 142,21%,13%,20%,19%,13%,7%,0%,4%,16%,15%,16%,22%,4%,41%,21%,78.79,76.64,792,01350,région Auvergne-Rhône-Alpes,département de l'Ain,,M. Bernard THIBOUD,,,1,,,,4,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1 573 €,2 769 €,78.46%,13.19%,77.45%,22.55%
01011,APREMONT 01,415,40 ans,44.1%,4.9%,30 h/km²,24 530 €/an,14,0,0,0,0,0,5,,,,,,394,393,20%,10%,17%,18%,19%,4%,0%,8%,28%,5%,6%,19%,6%,44%,15%,84.67,85.47,287,01100,région Auvergne-Rhône-Alpes,département de l'Ain,,M. Claude DOCHE,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2 064 €,945 €,80.21%,11.23%,80.67%,19.33%
01012,ARANC,331,44 ans,46.5%,6.3%,16 h/km²,24 270 €/an,21,0,0,0,0,0,5,,,,,,331,331,20%,9%,18%,20%,18%,13%,1%,2%,32%,14%,12%,26%,4%,34%,23%,78.09,73.14,283,01110,région Auvergne-Rhône-Alpes,département de l'Ain,,M. Daniel MATHIEU,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1 819 €,1 338 €,67.74%,23.04%,81.63%,18.37%
