"GEO";"GEO_OBJECT";"FREQ";"SEX";"PCS_ESE";"DERA_MEASURE";"CONF_STATUS";"TIME_PERIOD";"OBS_VALUE"
"44021";"COM";"A";"F";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;1847.412089
"44007";"COM";"A";"_T";"1T3";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"C";2022;
"43244";"COM";"A";"_T";"5";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2023;1898.243499
"44001";"COM";"A";"F";"4";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"C";2022;
"44194";"COM";"A";"M";"4";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2023;2567.864934
"44198";"COM";"A";"F";"4";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;2268.482466
"44188";"COM";"A";"F";"1T3";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;3261.319735
"44188";"COM";"A";"M";"4";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;2521.489548
"44209";"COM";"A";"M";"4";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2023;2631.808293
"44203";"COM";"A";"M";"5";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"C";2023;
"44195";"COM";"A";"M";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;2125.789836
"57413";"COM";"A";"F";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2023;1937.754457
"57289";"COM";"A";"F";"1T3";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;4027.720079
"57306";"COM";"A";"F";"6";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;1581.542497
"57463";"COM";"A";"F";"6";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;1631.570909
"49015";"COM";"A";"M";"1T3";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2023;4841.994169
"49021";"COM";"A";"_T";"4";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;2241.343251
"48095";"COM";"A";"F";"5";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2023;1867.243594
"49015";"COM";"A";"M";"4";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2023;2677.195939
"49018";"COM";"A";"F";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2023;1981.938998
"49020";"COM";"A";"F";"6";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;1658.898195
"49027";"COM";"A";"F";"4";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"C";2023;
"48080";"COM";"A";"M";"1T3";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;3047.394341
"57545";"COM";"A";"F";"6";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"C";2022;
"57463";"COM";"A";"M";"1T3";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;3933.213174
"57540";"COM";"A";"F";"5";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2023;1884.85545
"44081";"COM";"A";"M";"4";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;2894.064575
"44071";"COM";"A";"F";"4";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;2207.768643
"44074";"COM";"A";"F";"5";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;2076.861627
"44082";"COM";"A";"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2023;2216.889603
"44087";"COM";"A";"_T";"4";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"F";2022;2370.708933
"54261";"COM";"A";"M";"5";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"C";2022;
